system:index,loss_area_ha,loss_year_code,year,.geo
0,8800.85424022178,1.0,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,10215.178494584281,2.0,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,6652.002298974253,3.0,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,8584.017304915846,4.0,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,8385.199680430296,5.0,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7764.4627868175585,6.0,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5146.179126972289,7.0,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,13756.069143534165,8.0,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,12690.670014966488,9.0,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,9060.210559764551,10.0,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,15116.35079730887,11.0,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,22695.775219571347,12.0,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,15807.27711406168,13.0,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,24813.44227995459,14.0,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,24067.125083528324,15.0,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,30824.762021043953,16.0,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,18023.95897936549,17.0,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,20032.714817254822,18.0,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,10519.895453636285,19.0,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,16003.773446382544,20.0,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,8307.260445823582,21.0,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,14022.81681284104,22.0,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,24747.381252021616,23.0,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
