system:index,annual_loss_ha,cumulative_loss_ha,year,.geo
0,8800.85424022178,8800.85424022178,2001.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,10215.178494584281,19016.03273480606,2002.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,6652.002298974253,25668.035033780314,2003.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,8584.017304915846,34252.05233869616,2004.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,8385.199680430296,42637.252019126456,2005.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,7764.4627868175585,50401.714805944015,2006.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,5146.179126972289,55547.893932916304,2007.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,13756.069143534165,69303.96307645047,2008.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,12690.670014966488,81994.63309141695,2009.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,9060.210559764551,91054.84365118151,2010.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,15116.35079730887,106171.19444849038,2011.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,22695.775219571347,128866.96966806173,2012.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,15807.27711406168,144674.2467821234,2013.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,24813.44227995459,169487.689062078,2014.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,24067.125083528324,193554.8141456063,2015.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,30824.762021043953,224379.57616665025,2016.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,18023.95897936549,242403.53514601575,2017.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,20032.714817254822,262436.24996327056,2018.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,10519.895453636285,272956.14541690686,2019.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,16003.773446382544,288959.9188632894,2020.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,8307.260445823582,297267.179309113,2021.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,14022.81681284104,311289.99612195406,2022.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,24747.381252021616,336037.3773739757,2023.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
